"","guild","mat_ori$id","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.chitin.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown","Resource.Acquisition.Substrate.degradation.simple.compound.degradation.protein.degradation"
"1","1","grassAmbDry1_bin.1.orig",0.627056503572105,0.801552240295489,0.360811458153339,0.415235245417945,0.808387186514091,1.16320301136029,0.604885985138041
"2","2","grassAmbDry1_bin.10.strict",0.422415614532217,0.539964389549083,0,0,0.326741244107409,0.783589855252943,0.992126386363912
"3","1","grassAmbDry1_bin.11.orig",0.744475364891811,0.634430755096181,0.571166480076684,0.328659814107611,0.89577688678857,0.920678313562458,0.999169846807335
"4","2","grassAmbDry1_bin.12.orig",0.85196068276821,1.08904219958865,0.653629934969253,0.376110819551811,0.732219074825813,0.351201110483372,1.04814165287188
"5","3","grassAmbDry1_bin.14.orig",1.31244448202324,1.25825122078676,0.75518713960624,0.869097447336625,1.52277660244543,0.811537378761423,1.04585999684575
"6","2","grassAmbDry1_bin.15.strict",0.588068917972023,0.751715285565836,0.451170407726516,0.519223685235673,0.606500212172509,0.242417826561511,1.61139514936664
"7","2","grassAmbDry1_bin.16.orig",0.593643631332968,1.13826197461017,0.683171047663208,0.393109325145528,0.612249648561483,0.367073810046191,0.995920825841078
"8","2","grassAmbDry1_bin.17.orig",0.865720085891933,1.10663053546607,0.664186241088631,0.382185114399072,1.041662464524,0.713746213135348,0.871420445582218
"9","3","grassAmbDry1_bin.18.strict",1.06892084549522,1.36637750110939,1.23012483473678,1.06175505815608,1.24022591102447,0.991435332623779,1.07595918663927
"10","2","grassAmbDry1_bin.19.orig",0.331480446167296,0.423724006889264,0.38147102358277,0.439011041689003,0.427337159785637,0.409935469390029,0.778547207755206
"11","1","grassAmbDry1_bin.2.orig",1.47308925825054,0.470754225647773,0.847622949816488,0.487738007809265,1.51925891740549,0.910870525722619,1.05030877466189
"12","1","grassAmbDry1_bin.20.orig",1.09041222153902,0.464616481418187,0.836571550624175,1.4441364816031,0.749725328112393,1.79798899566513,1.03661473588381
"13","4","grassAmbDry1_bin.21.orig",1.11338511578853,1.42321517883648,1.70839301753691,1.47456166761845,1.14828090436091,0.917934587756033,1.05845422028663
